gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	34.981	-1.681	1.001	0.4217
CNAG_00003	NA	52.566	-1.378	0.846	0.4453
CNAG_00004	NA	207.485	-1.195	0.455	0.1054
CNAG_00005	NA	7.422	0.51	1.845	0.952
CNAG_00006	NA	193.845	-0.216	0.464	0.9004
CNAG_00007	NA	118.275	-0.081	0.583	0.9758
CNAG_00008	NA	346.927	0.833	0.398	0.2493
CNAG_00009	NA	106.452	0.625	0.622	0.7253
CNAG_00010	NA	685.153	-0.127	0.387	0.939
CNAG_00011	NA	43.978	1.276	0.819	0.4743
CNAG_00012	NA	155.661	0.271	0.559	0.8953
CNAG_00013	NA	36.905	0.252	0.835	0.9467
CNAG_00014	NA	35.189	-0.269	0.86	0.9429
CNAG_00015	NA	122.943	-0.495	0.591	0.7903
CNAG_00016	NA	37.281	1.139	0.986	0.6611
CNAG_00017	NA	58.627	-0.719	0.804	0.7679
CNAG_00018	FZC6	242.374	1.312	0.452	0.05918
CNAG_00019	NA	198.234	-1.16	0.495	0.1729
CNAG_00020	NA	280.657	0.404	0.541	0.8158
CNAG_00021	NA	205.22	-0.708	0.557	0.6064
CNAG_00022	NA	58.773	-0.725	0.714	0.7196
CNAG_00023	NA	181.414	-2.292	0.619	0.007527
CNAG_00024	NA	3989.359	0.077	0.34	0.9635
CNAG_00025	VCX1	190.96	0.223	0.563	0.921
CNAG_00026	NA	245.538	-1.095	0.486	0.1979
CNAG_00027	NA	104.628	0.264	0.663	0.921
CNAG_00028	NA	113.714	0.549	0.556	0.7347
CNAG_00029	NA	11.091	-6.36	2.173	0.05615
CNAG_00030	NA	6.845	1.083	1.795	0.8616
CNAG_00031	MLR1	84.304	-0.506	0.636	0.802
CNAG_00032	NA	5.915	0.021	1.873	0.9975
CNAG_00034	RPL9B	1662.017	-0.569	0.354	0.4568
CNAG_00035	NA	48.331	-0.489	0.804	0.8599
CNAG_00036	SEC14-2	66.099	1.246	0.793	0.4696
CNAG_00038	NA	70.763	0.861	0.687	0.6137
CNAG_00039	ZFC6	299.896	0.093	0.485	0.9685
CNAG_00040	ERG11	642.551	-0.506	0.397	0.6034
CNAG_00043	NA	200.708	-0.126	0.458	0.952
CNAG_00044	NA	288.647	0.196	0.433	0.9052
CNAG_00045	NA	57.206	1.072	0.699	0.4851
CNAG_00046	NA	162.978	0.193	0.602	0.9402
CNAG_00047	PKP1	57.04	-0.54	2.902	0.9685
CNAG_00048	NA	10.86	-0.749	1.78	0.9151
CNAG_00049	NA	17.189	0.26	1.245	0.9667
CNAG_00050	NA	57.932	-0.322	0.794	0.9199
CNAG_00051	SNT1	656.351	0.811	0.357	0.1929
CNAG_00052	NA	55.977	3.84	1.037	0.007527
CNAG_00053	NA	5.247	-1.226	2.294	NA
CNAG_00054	NA	14.685	1.808	1.26	0.5279
CNAG_00055	NA	138.089	1.225	0.527	0.1776
CNAG_00056	NA	82.575	0.774	0.606	0.6022
CNAG_00057	FPP1	354.928	1.293	0.587	0.2101
CNAG_00058	NA	298.161	0.046	0.419	0.9816
CNAG_00059	NA	35.468	-1.057	0.905	0.6573
CNAG_00060	NA	86.631	0.236	0.606	0.9224
CNAG_00061	CIT1	966.654	-0.296	0.362	0.7974
CNAG_00062	NA	243.43	0.53	0.432	0.6267
CNAG_00063	CSE4	27.141	-1.964	1.232	0.4599
CNAG_00064	NA	104.611	0.882	0.576	0.4857
CNAG_00065	NA	408.339	0.226	0.406	0.8735
CNAG_00066	NA	596.353	-0.027	0.37	0.986
CNAG_00067	SSS1	238.679	-0.083	0.454	0.9689
CNAG_00068	NA	475.439	-1.157	0.399	0.05995
CNAG_00069	NA	2.406	-4.15	4.233	NA
