gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	17.426	0.218	1.42	0.9499
CNAG_00003	NA	55.492	0.047	0.791	0.9836
CNAG_00004	NA	212.129	-0.51	0.475	0.5667
CNAG_00005	NA	120.943	2.204	0.721	0.0217
CNAG_00006	NA	251.806	0.037	0.404	0.9716
CNAG_00007	NA	310.243	0.209	0.379	0.806
CNAG_00008	NA	549.751	0.806	0.331	0.08794
CNAG_00009	NA	205.272	-0.096	0.455	0.9318
CNAG_00010	NA	1335.073	-1.044	0.256	9.933e-4
CNAG_00011	NA	76.02	0.041	0.762	0.9852
CNAG_00012	NA	68.881	0.658	0.785	0.676
CNAG_00013	NA	91.965	1.182	0.649	0.2443
CNAG_00014	NA	51.522	-1.152	1.186	0.6143
CNAG_00015	NA	55.88	0.155	0.776	0.9358
CNAG_00016	NA	85.616	0.959	0.651	0.3826
CNAG_00017	NA	33.808	-0.383	1.038	0.8761
CNAG_00018	FZC6	329.074	0.683	0.37	0.2371
CNAG_00019	NA	474.594	-0.093	0.329	0.9075
CNAG_00020	NA	342.222	-0.135	0.362	0.8742
CNAG_00021	NA	726.653	-0.726	0.288	0.07424
CNAG_00022	NA	303.303	-0.078	0.388	0.9358
CNAG_00023	NA	19.127	-0.452	1.833	0.9187
CNAG_00024	NA	9082.223	-0.685	0.21	0.01267
CNAG_00025	VCX1	700.606	-0.078	0.315	0.9185
CNAG_00026	NA	899.337	-0.068	0.278	0.9187
CNAG_00027	NA	113.698	0.887	0.618	0.3984
CNAG_00028	NA	265.87	0.524	0.395	0.4455
CNAG_00029	NA	41.891	0.001	0.88	0.9995
CNAG_00030	NA	26.684	-0.132	1.082	0.9616
CNAG_00031	MLR1	185.047	-0.633	0.485	0.4569
CNAG_00032	NA	13.559	0.837	1.699	NA
CNAG_00034	RPL9B	5462.295	-0.468	0.226	0.1668
CNAG_00035	NA	100.491	0.575	0.618	0.6332
CNAG_00036	SEC14-2	37.516	1.233	0.949	0.4604
CNAG_00038	NA	77.692	2.695	0.755	0.005255
CNAG_00039	ZFC6	601.625	-0.647	0.343	0.2243
CNAG_00040	ERG11	1621.582	-0.84	0.26	0.01373
CNAG_00043	NA	152.915	0.189	0.518	0.8776
CNAG_00044	NA	344.873	0.834	0.391	0.1513
CNAG_00045	NA	27.572	1.38	1.125	0.4968
CNAG_00046	NA	183.409	1.012	0.499	0.1796
CNAG_00047	PKP1	28.639	-1.004	1.218	0.6823
CNAG_00048	NA	26.845	2.091	1.205	0.2746
CNAG_00049	NA	18.105	0.307	1.314	0.9225
CNAG_00050	NA	115.433	-0.085	0.559	0.9507
CNAG_00051	SNT1	1362.541	-0.087	0.295	0.9034
