gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	4.383	0.741	2.252	NA
CNAG_00003	NA	37.197	-1.404	1.107	0.6523
CNAG_00004	NA	107.742	-0.903	0.663	0.6022
CNAG_00005	NA	33.209	0.738	1.107	0.879
CNAG_00006	NA	156.372	-0.354	0.625	0.9119
CNAG_00007	NA	106.709	-0.985	0.684	0.5672
CNAG_00008	NA	234.752	0.391	0.593	0.8799
CNAG_00009	NA	60.225	0.111	0.905	0.9875
CNAG_00010	NA	257.705	1.67	0.614	0.07892
CNAG_00011	NA	68.309	0.555	0.804	0.8747
CNAG_00012	NA	109.415	1.038	0.689	0.5321
CNAG_00013	NA	61.088	-0.24	0.81	0.9641
CNAG_00014	NA	47.261	-1.608	0.908	0.3975
CNAG_00015	NA	42.181	0.523	1.167	0.9368
CNAG_00016	NA	45.184	-0.722	0.889	0.8482
CNAG_00017	NA	24.484	0.484	1.066	0.9358
CNAG_00018	FZC6	195.652	1.114	0.812	0.597
CNAG_00019	NA	73.62	-0.445	0.809	0.9147
CNAG_00020	NA	251.005	0.963	0.642	0.5363
CNAG_00021	NA	75.456	1.681	0.775	0.2238
CNAG_00022	NA	29.993	3.001	1.36	0.2108
CNAG_00023	NA	69.617	1.883	1.007	0.3484
CNAG_00024	NA	2077.376	-0.3	0.54	0.9144
CNAG_00025	VCX1	148.117	-1.513	0.681	0.2062
CNAG_00026	NA	115.913	0.353	0.746	0.9323
CNAG_00027	NA	112.63	0.104	0.797	0.9863
CNAG_00028	NA	80.894	1.166	0.926	0.6585
CNAG_00029	NA	16.435	1.826	1.374	0.6187
CNAG_00030	NA	3.198	4.563	3.541	NA
CNAG_00031	MLR1	104.036	0.16	0.71	0.9748
CNAG_00032	NA	13.772	2.713	1.792	0.5306
CNAG_00034	RPL9B	444.906	0.311	0.52	0.9027
CNAG_00035	NA	70.613	-0.246	0.74	0.9551
CNAG_00036	SEC14-2	105.369	-1.246	1.081	0.7157
CNAG_00038	NA	33.413	0.81	0.99	0.8473
CNAG_00039	ZFC6	175.054	0.562	0.727	0.8557
CNAG_00040	ERG11	322.161	-0.168	0.643	0.9699
CNAG_00043	NA	98.609	0.35	0.894	0.9447
CNAG_00044	NA	202.264	-0.143	0.854	0.981
CNAG_00045	NA	41.695	0.516	0.919	0.9139
CNAG_00046	NA	95.554	0.663	0.715	0.8086
CNAG_00047	PKP1	517.493	-4.613	0.938	5.433e-5
CNAG_00048	NA	8.491	1.049	2.193	0.9322
CNAG_00049	NA	18.844	0.619	1.223	0.9231
CNAG_00050	NA	44.843	0.656	0.902	0.8687
CNAG_00051	SNT1	487.118	0.349	0.516	0.8788
CNAG_00052	NA	118.832	-3.879	0.805	8.297e-5
CNAG_00053	NA	22.905	-0.856	1.347	0.8905
CNAG_00054	NA	119.262	-2.519	1.004	0.1235
CNAG_00055	NA	117.519	0.535	0.797	0.879
CNAG_00056	NA	49.816	1.117	1.13	0.7849
CNAG_00057	FPP1	1015.885	-3.776	0.642	4.994e-7
CNAG_00058	NA	187.016	0.322	0.606	0.9206
CNAG_00059	NA	25.143	-0.018	1.145	0.9967
CNAG_00060	NA	72.445	-0.874	0.728	0.6876
CNAG_00061	CIT1	826.14	-1.009	0.553	0.3682
CNAG_00062	NA	143.451	0.776	0.635	0.6768
CNAG_00063	CSE4	16.393	1.078	1.798	0.9025
CNAG_00064	NA	70.184	0.705	0.744	0.7994
CNAG_00065	NA	222.382	1.167	0.607	0.3279
CNAG_00066	NA	528.75	0.27	0.533	0.9231
CNAG_00067	SSS1	106.993	0.113	0.694	0.9817
CNAG_00068	NA	170.909	0.503	0.617	0.8475
CNAG_00069	NA	1.092	3.01	4.818	NA
CNAG_00070	NA	562.833	1.765	0.548	0.02262
CNAG_00072	NA	180.118	0.132	0.7	0.9792
CNAG_00073	NA	320.919	0.364	0.558	0.8837
CNAG_00074	NA	428.391	-0.042	0.808	0.992
CNAG_00075	NA	40.041	-1.687	1.055	0.4871
CNAG_00076	NDX6	42.904	-0.615	0.959	0.8881
CNAG_00077	NA	721.749	2.806	0.505	2.58e-6
CNAG_00078	NA	128.442	0.384	0.656	0.9062
CNAG_00079	NA	205.416	-1.377	0.599	0.1791
CNAG_00080	NA	6.44	-1.327	1.993	0.879
