gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	12.653	0.641	1.576	0.8743
CNAG_00003	NA	28.16	-0.129	1.093	0.9657
CNAG_00004	NA	103.905	0.346	0.598	0.8091
CNAG_00005	NA	55.998	-3.7	0.933	0.001782
CNAG_00006	NA	149.68	0.311	0.516	0.7985
CNAG_00007	NA	140.357	-0.717	0.554	0.4878
CNAG_00008	NA	388.46	0.165	0.4	0.8719
CNAG_00009	NA	111.707	0.203	0.597	0.8994
CNAG_00010	NA	531.028	0.405	0.403	0.6231
CNAG_00011	NA	49.023	0.518	0.832	0.7924
CNAG_00012	NA	100.781	1.835	0.627	0.03455
CNAG_00013	NA	52.028	-0.849	0.784	0.5846
CNAG_00014	NA	23.003	0.819	1.58	0.8317
CNAG_00015	NA	62.51	1.611	0.729	0.1436
CNAG_00016	NA	53.335	-0.333	0.909	0.8902
CNAG_00017	NA	28.077	1.415	1.072	0.4763
CNAG_00018	FZC6	265.756	0.585	0.457	0.4939
CNAG_00019	NA	176.838	-1.085	0.526	0.181
CNAG_00020	NA	233.106	0.787	0.569	0.4438
CNAG_00021	NA	215.561	-0.998	0.549	0.2597
CNAG_00022	NA	97.889	-1.921	0.638	0.02837
CNAG_00023	NA	32.799	2.72	1.364	0.2008
CNAG_00024	NA	3714.853	0.053	0.327	0.9545
CNAG_00025	VCX1	273.322	-0.906	0.54	0.3161
CNAG_00026	NA	302.206	-1.666	0.46	0.005543
CNAG_00027	NA	91.352	0.445	0.657	0.7712
CNAG_00028	NA	144.48	-0.394	0.535	0.7509
CNAG_00029	NA	11.007	-6.459	2.217	0.0357
CNAG_00030	NA	10.984	-0.629	1.509	0.8707
CNAG_00031	MLR1	70.374	-0.241	0.695	0.8981
CNAG_00032	NA	7.317	-0.737	1.816	0.8748
CNAG_00034	RPL9B	1818.587	-0.957	0.336	0.04121
CNAG_00035	NA	50.066	-0.768	0.857	0.6738
CNAG_00036	SEC14-2	56.663	1.634	0.896	0.2586
CNAG_00038	NA	77.308	0.253	0.73	0.8981
CNAG_00039	ZFC6	265.592	0.218	0.496	0.8629
CNAG_00040	ERG11	549.845	-0.312	0.377	0.7057
CNAG_00043	NA	131.242	1.052	0.568	0.2487
CNAG_00044	NA	258.246	0.3	0.462	0.7816
CNAG_00045	NA	46.224	1.796	0.826	0.1522
CNAG_00046	NA	144.446	0.328	0.642	0.8343
CNAG_00047	PKP1	26.37	2.105	1.691	0.5088
CNAG_00048	NA	15.059	-1.588	1.663	0.6477
CNAG_00049	NA	13.897	0.713	1.389	0.834
CNAG_00050	NA	53.164	-0.307	0.78	0.8791
CNAG_00051	SNT1	732.491	0.159	0.397	0.8762
CNAG_00052	NA	54.122	3.075	0.994	0.02316
CNAG_00053	NA	3.316	-0.379	2.908	NA
CNAG_00054	NA	14.845	1.264	1.733	0.7529
CNAG_00055	NA	164.324	0.257	0.565	0.8565
CNAG_00056	NA	101.277	-0.137	0.61	0.9322
CNAG_00057	FPP1	376.057	0.708	0.648	0.5812
CNAG_00058	NA	453.988	-1.165	0.425	0.05222
CNAG_00059	NA	40.443	-1.483	0.918	0.3436
CNAG_00060	NA	95.297	-0.263	0.612	0.8661
CNAG_00061	CIT1	819.784	-0.062	0.385	0.9544
CNAG_00062	NA	240.26	0.311	0.478	0.7816
CNAG_00063	CSE4	18.862	-1.42	1.275	0.5713
CNAG_00064	NA	124.218	0.019	0.617	0.9916
CNAG_00065	NA	558.608	-0.803	0.405	0.2036
CNAG_00066	NA	474.458	0.439	0.404	0.5837
CNAG_00067	SSS1	195.538	0.277	0.482	0.8109
CNAG_00068	NA	328.888	-0.507	0.445	0.5598
CNAG_00069	NA	1.508	-3.608	4.812	NA
CNAG_00070	NA	1113.415	3.277	0.375	1.258e-15
CNAG_00072	NA	284.13	0.474	0.519	0.6674
CNAG_00073	NA	481.881	0.398	0.424	0.654
CNAG_00074	NA	662.353	1.553	0.469	0.01286
CNAG_00075	NA	40.688	0.008	0.974	0.9995
CNAG_00076	NDX6	101.154	-0.024	0.624	0.9897
CNAG_00077	NA	1250.858	1.884	0.385	5.109e-5
CNAG_00078	NA	110.325	0.379	0.575	0.7777
CNAG_00079	NA	39.708	2.409	0.919	0.0677
CNAG_00080	NA	12.246	0.948	1.47	0.7833
CNAG_00081	NA	293.006	-0.3	0.427	0.7637
CNAG_00082	NA	42.15	-0.927	0.866	0.5905
CNAG_00083	CCC1	210.523	-0.076	0.476	0.9557
CNAG_00084	NA	417.55	-1.926	0.437	3.941e-4
CNAG_00085	NA	39.432	-1.134	1.346	0.6967
CNAG_00086	NA	197.881	-1.589	0.525	0.02738
CNAG_00087	NA	106.149	0.528	0.622	0.6953
CNAG_00088	NA	118.368	-0.779	0.623	0.5059
CNAG_00089	NA	76.899	-1.601	0.796	0.1955
CNAG_00090	NA	55.411	-1.27	0.821	0.3717
CNAG_00091	NA	1153.54	4.914	1.41	0.00826
CNAG_00092	NA	94.574	-0.16	0.638	0.9276
CNAG_00093	NA	261.278	1.54	0.67	0.124
CNAG_00094	NA	11.64	-2.292	1.85	0.5113
CNAG_00095	NA	218.68	-0.631	0.468	0.4634
CNAG_00096	NA	20.946	-1.716	1.218	0.4344
CNAG_00097	ITR1	115.181	0.204	0.596	0.8987
CNAG_00098	NA	9.817	0.52	1.706	0.9116
CNAG_00099	NA	211.065	-1.036	0.468	0.1431
CNAG_00100	NA	1330.368	-0.691	0.44	0.3629
CNAG_00101	KEI1	84.076	-0.327	0.654	0.8378
CNAG_00104	NA	2024.807	-1.042	0.338	0.02369
CNAG_00106	TCO5	570.155	-1.534	0.446	0.009429
CNAG_00107	NA	79.695	-0.292	0.678	0.8661
CNAG_00108	NA	116.709	-0.899	0.578	0.3702
CNAG_00109	NA	235.292	-0.209	0.504	0.8707
CNAG_00110	HPI3	24.961	0.229	1.633	0.9603
CNAG_00111	NA	338.008	-0.605	0.45	0.4646
CNAG_00115	NA	136.518	-0.685	0.544	0.5034
CNAG_00116	NA	2829.51	-1.189	0.381	0.02141
CNAG_00117	ERG24	272.418	-0.135	0.482	0.9203
CNAG_00118	NA	39.912	0.216	0.951	0.9318
CNAG_00119	NA	34.098	-0.218	0.913	0.9298
