ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0006520	cellular amino acid metabolic process	149	37	CNAG_00143,CNAG_00238,CNAG_00256,CNAG_00649,CNAG_00966,CNAG_01021,CNAG_01305,CNAG_01400,CNAG_01435,CNAG_02418,CNAG_02763,CNAG_02812,CNAG_02825,CNAG_03588,CNAG_03701,CNAG_04082,CNAG_04156,CNAG_04179,CNAG_04347,CNAG_04800,CNAG_05028,CNAG_05070,CNAG_05497,CNAG_05623,CNAG_05725,CNAG_05753,CNAG_05899,CNAG_05900,CNAG_05978,CNAG_06072,CNAG_06123,CNAG_06370,CNAG_06421,CNAG_06679,CNAG_06713,CNAG_06755,CNAG_07473,	24.8	4.32	6.05	6.47731152847e-15	2.20228591968e-13	2.20228591968e-13
GO:0008150	biological process	3075	235	CNAG_00026,CNAG_00034,CNAG_00040,CNAG_00099,CNAG_00116,CNAG_00143,CNAG_00238,CNAG_00252,CNAG_00256,CNAG_00257,CNAG_00370,CNAG_00377,CNAG_00411,CNAG_00417,CNAG_00509,CNAG_00640,CNAG_00649,CNAG_00655,CNAG_00656,CNAG_00670,CNAG_00672,CNAG_00681,CNAG_00703,CNAG_00771,CNAG_00779,CNAG_00819,CNAG_00821,CNAG_00966,CNAG_00973,CNAG_01000,CNAG_01005,CNAG_01021,CNAG_01091,CNAG_01107,CNAG_01111,CNAG_01143,CNAG_01152,CNAG_01153,CNAG_01170,CNAG_01172,CNAG_01181,CNAG_01224,CNAG_01300,CNAG_01305,CNAG_01332,CNAG_01400,CNAG_01428,CNAG_01435,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01599,CNAG_01624,CNAG_01628,CNAG_01642,CNAG_01664,CNAG_01667,CNAG_01726,CNAG_01789,CNAG_01813,CNAG_01819,CNAG_01852,CNAG_01884,CNAG_01951,CNAG_01976,CNAG_01990,CNAG_02084,CNAG_02144,CNAG_02208,CNAG_02234,CNAG_02236,CNAG_02257,CNAG_02285,CNAG_02291,CNAG_02292,CNAG_02330,CNAG_02331,CNAG_02354,CNAG_02406,CNAG_02418,CNAG_02426,CNAG_02654,CNAG_02675,CNAG_02710,CNAG_02714,CNAG_02736,CNAG_02749,CNAG_02754,CNAG_02763,CNAG_02811,CNAG_02812,CNAG_02813,CNAG_02823,CNAG_02825,CNAG_02830,CNAG_02858,CNAG_02928,CNAG_02936,CNAG_03000,CNAG_03015,CNAG_03038,CNAG_03053,CNAG_03116,CNAG_03127,CNAG_03130,CNAG_03153,CNAG_03184,CNAG_03188,CNAG_03198,CNAG_03221,CNAG_03222,CNAG_03263,CNAG_03264,CNAG_03270,CNAG_03298,CNAG_03303,CNAG_03322,CNAG_03368,CNAG_03459,CNAG_03476,CNAG_03510,CNAG_03577,CNAG_03588,CNAG_03622,CNAG_03629,CNAG_03655,CNAG_03700,CNAG_03701,CNAG_03739,CNAG_03747,CNAG_03748,CNAG_03763,CNAG_03780,CNAG_03781,CNAG_03819,CNAG_03950,CNAG_04004,CNAG_04011,CNAG_04021,CNAG_04050,CNAG_04068,CNAG_04082,CNAG_04114,CNAG_04156,CNAG_04179,CNAG_04187,CNAG_04235,CNAG_04260,CNAG_04304,CNAG_04347,CNAG_04360,CNAG_04400,CNAG_04445,CNAG_04448,CNAG_04726,CNAG_04762,CNAG_04799,CNAG_04800,CNAG_04832,CNAG_04872,CNAG_04883,CNAG_04884,CNAG_04914,CNAG_04936,CNAG_04948,CNAG_04969,CNAG_05007,CNAG_05028,CNAG_05070,CNAG_05078,CNAG_05232,CNAG_05254,CNAG_05274,CNAG_05465,CNAG_05497,CNAG_05498,CNAG_05525,CNAG_05555,CNAG_05556,CNAG_05623,CNAG_05629,CNAG_05687,CNAG_05725,CNAG_05753,CNAG_05761,CNAG_05762,CNAG_05800,CNAG_05894,CNAG_05899,CNAG_05900,CNAG_05904,CNAG_05975,CNAG_05978,CNAG_05980,CNAG_06061,CNAG_06072,CNAG_06079,CNAG_06095,CNAG_06112,CNAG_06123,CNAG_06125,CNAG_06182,CNAG_06222,CNAG_06231,CNAG_06314,CNAG_06333,CNAG_06352,CNAG_06369,CNAG_06370,CNAG_06420,CNAG_06421,CNAG_06447,CNAG_06510,CNAG_06563,CNAG_06599,CNAG_06605,CNAG_06633,CNAG_06679,CNAG_06697,CNAG_06713,CNAG_06753,CNAG_06755,CNAG_06769,CNAG_06811,CNAG_06839,CNAG_06845,CNAG_06847,CNAG_07469,CNAG_07473,CNAG_07635,CNAG_07637,CNAG_07817,CNAG_07839,CNAG_07855,CNAG_07908,	7.6	1.33	2.77	8.28050434777e-14	1.40768573912e-12	2.81537147824e-12
GO:0006399	tRNA metabolic process	80	18	CNAG_00143,CNAG_00238,CNAG_01305,CNAG_01435,CNAG_02418,CNAG_02763,CNAG_04082,CNAG_04179,CNAG_04360,CNAG_04800,CNAG_05078,CNAG_05900,CNAG_05975,CNAG_05978,CNAG_06123,CNAG_06713,CNAG_06755,CNAG_07473,	22.5	3.91	5.0	3.90272569237e-07	4.42308911801e-06	1.3269267354e-05
GO:0007059	chromosome segregation	26	7	CNAG_00681,CNAG_02291,CNAG_03781,CNAG_04936,CNAG_06599,CNAG_06697,CNAG_07635,	26.9	4.68	6.16	0.000494745457253	0.00420533638665	0.0168213455466
GO:0006260	DNA replication	56	10	CNAG_00099,CNAG_01726,CNAG_02208,CNAG_02406,CNAG_02654,CNAG_02823,CNAG_06079,CNAG_06182,CNAG_06333,CNAG_06769,	17.9	3.1	3.65	0.00114124142283	0.00776044167521	0.0388022083761
GO:0002181	cytoplasmic translation	13	4	CNAG_00509,CNAG_01111,CNAG_06061,CNAG_06563,	30.8	5.35	7.37	0.00507293163504	0.0280651730545	0.172479675591
GO:0000278	mitotic cell cycle	21	5	CNAG_00681,CNAG_03184,CNAG_04936,CNAG_06697,CNAG_07635,	23.8	4.14	5.19	0.00577812386417	0.0280651730545	0.196456211382
GO:0140014	mitotic nuclear division	9	3	CNAG_00681,CNAG_04936,CNAG_07635,	33.3	5.79	8.26	0.0122150079537	0.0519137838033	0.415310270426
GO:0007018	microtubule-based movement	12	3	CNAG_00257,CNAG_05894,CNAG_07817,	25.0	4.35	5.51	0.0281397381784	0.106305677563	0.956751098065
GO:0006913	nucleocytoplasmic transport	22	4	CNAG_00411,CNAG_01000,CNAG_02257,CNAG_07469,	18.2	3.16	3.68	0.0345260560548	0.117388590586	1.0
