ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005840	ribosome	142	88	CNAG_00034,CNAG_00116,CNAG_00232,CNAG_00370,CNAG_00640,CNAG_00655,CNAG_00656,CNAG_00672,CNAG_00703,CNAG_00771,CNAG_00779,CNAG_00819,CNAG_00821,CNAG_01152,CNAG_01153,CNAG_01170,CNAG_01181,CNAG_01224,CNAG_01300,CNAG_01332,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01599,CNAG_01628,CNAG_01789,CNAG_01819,CNAG_01884,CNAG_01951,CNAG_01976,CNAG_01990,CNAG_02144,CNAG_02234,CNAG_02330,CNAG_02331,CNAG_02354,CNAG_02359,CNAG_02754,CNAG_02811,CNAG_02813,CNAG_02928,CNAG_03000,CNAG_03015,CNAG_03053,CNAG_03127,CNAG_03198,CNAG_03221,CNAG_03283,CNAG_03303,CNAG_03510,CNAG_03577,CNAG_03739,CNAG_03747,CNAG_03748,CNAG_03780,CNAG_04004,CNAG_04011,CNAG_04021,CNAG_04068,CNAG_04114,CNAG_04235,CNAG_04400,CNAG_04445,CNAG_04448,CNAG_04726,CNAG_04762,CNAG_04799,CNAG_04883,CNAG_04884,CNAG_05232,CNAG_05525,CNAG_05555,CNAG_05556,CNAG_05762,CNAG_05800,CNAG_05814,CNAG_05904,CNAG_05980,CNAG_06095,CNAG_06222,CNAG_06231,CNAG_06447,CNAG_06605,CNAG_06633,CNAG_06811,CNAG_06847,CNAG_07637,CNAG_07839,	62.0	10.77	37.67	5.07975419394e-77	9.6515329685e-76	9.6515329685e-76
GO:0005622	intracellular anatomical structure	1664	182	CNAG_00034,CNAG_00099,CNAG_00116,CNAG_00232,CNAG_00370,CNAG_00411,CNAG_00509,CNAG_00534,CNAG_00536,CNAG_00640,CNAG_00655,CNAG_00656,CNAG_00672,CNAG_00681,CNAG_00703,CNAG_00771,CNAG_00779,CNAG_00819,CNAG_00821,CNAG_01000,CNAG_01021,CNAG_01053,CNAG_01091,CNAG_01101,CNAG_01111,CNAG_01143,CNAG_01152,CNAG_01153,CNAG_01170,CNAG_01181,CNAG_01224,CNAG_01287,CNAG_01300,CNAG_01305,CNAG_01332,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01536,CNAG_01599,CNAG_01624,CNAG_01628,CNAG_01667,CNAG_01726,CNAG_01789,CNAG_01819,CNAG_01884,CNAG_01951,CNAG_01976,CNAG_01990,CNAG_02140,CNAG_02144,CNAG_02234,CNAG_02257,CNAG_02291,CNAG_02330,CNAG_02331,CNAG_02354,CNAG_02359,CNAG_02406,CNAG_02426,CNAG_02547,CNAG_02654,CNAG_02656,CNAG_02710,CNAG_02714,CNAG_02736,CNAG_02749,CNAG_02754,CNAG_02763,CNAG_02811,CNAG_02813,CNAG_02833,CNAG_02858,CNAG_02928,CNAG_02936,CNAG_03000,CNAG_03015,CNAG_03053,CNAG_03116,CNAG_03127,CNAG_03188,CNAG_03198,CNAG_03221,CNAG_03222,CNAG_03283,CNAG_03298,CNAG_03303,CNAG_03322,CNAG_03368,CNAG_03391,CNAG_03459,CNAG_03510,CNAG_03577,CNAG_03629,CNAG_03655,CNAG_03700,CNAG_03701,CNAG_03739,CNAG_03747,CNAG_03748,CNAG_03780,CNAG_03781,CNAG_03950,CNAG_04004,CNAG_04011,CNAG_04021,CNAG_04050,CNAG_04068,CNAG_04082,CNAG_04114,CNAG_04179,CNAG_04187,CNAG_04235,CNAG_04304,CNAG_04360,CNAG_04378,CNAG_04400,CNAG_04445,CNAG_04448,CNAG_04670,CNAG_04726,CNAG_04762,CNAG_04799,CNAG_04800,CNAG_04866,CNAG_04872,CNAG_04883,CNAG_04884,CNAG_04914,CNAG_04936,CNAG_04948,CNAG_04985,CNAG_05232,CNAG_05254,CNAG_05353,CNAG_05437,CNAG_05498,CNAG_05525,CNAG_05555,CNAG_05556,CNAG_05629,CNAG_05687,CNAG_05725,CNAG_05753,CNAG_05762,CNAG_05800,CNAG_05814,CNAG_05894,CNAG_05895,CNAG_05900,CNAG_05904,CNAG_05978,CNAG_05980,CNAG_06061,CNAG_06079,CNAG_06095,CNAG_06182,CNAG_06222,CNAG_06231,CNAG_06352,CNAG_06369,CNAG_06420,CNAG_06447,CNAG_06563,CNAG_06599,CNAG_06605,CNAG_06633,CNAG_06713,CNAG_06755,CNAG_06769,CNAG_06811,CNAG_06839,CNAG_06847,CNAG_06906,CNAG_07326,CNAG_07469,CNAG_07635,CNAG_07637,CNAG_07839,CNAG_07855,CNAG_07908,	10.9	1.9	3.66	1.97537777983e-26	1.87660889084e-25	3.75321778168e-25
GO:0043226	organelle	1482	163	CNAG_00034,CNAG_00099,CNAG_00116,CNAG_00232,CNAG_00334,CNAG_00370,CNAG_00411,CNAG_00534,CNAG_00536,CNAG_00640,CNAG_00655,CNAG_00656,CNAG_00672,CNAG_00681,CNAG_00703,CNAG_00771,CNAG_00779,CNAG_00785,CNAG_00819,CNAG_00821,CNAG_01000,CNAG_01053,CNAG_01091,CNAG_01101,CNAG_01143,CNAG_01152,CNAG_01153,CNAG_01170,CNAG_01181,CNAG_01224,CNAG_01287,CNAG_01300,CNAG_01332,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01536,CNAG_01599,CNAG_01624,CNAG_01628,CNAG_01667,CNAG_01726,CNAG_01789,CNAG_01819,CNAG_01884,CNAG_01951,CNAG_01976,CNAG_01990,CNAG_02140,CNAG_02144,CNAG_02234,CNAG_02257,CNAG_02291,CNAG_02292,CNAG_02330,CNAG_02331,CNAG_02354,CNAG_02359,CNAG_02406,CNAG_02426,CNAG_02547,CNAG_02654,CNAG_02749,CNAG_02754,CNAG_02811,CNAG_02813,CNAG_02833,CNAG_02928,CNAG_02936,CNAG_03000,CNAG_03015,CNAG_03053,CNAG_03116,CNAG_03127,CNAG_03188,CNAG_03198,CNAG_03221,CNAG_03222,CNAG_03283,CNAG_03298,CNAG_03303,CNAG_03322,CNAG_03368,CNAG_03391,CNAG_03510,CNAG_03577,CNAG_03629,CNAG_03700,CNAG_03739,CNAG_03747,CNAG_03748,CNAG_03780,CNAG_03781,CNAG_03950,CNAG_04004,CNAG_04011,CNAG_04021,CNAG_04050,CNAG_04068,CNAG_04114,CNAG_04187,CNAG_04235,CNAG_04360,CNAG_04378,CNAG_04400,CNAG_04445,CNAG_04448,CNAG_04670,CNAG_04726,CNAG_04762,CNAG_04799,CNAG_04866,CNAG_04872,CNAG_04883,CNAG_04884,CNAG_04914,CNAG_04936,CNAG_04948,CNAG_04969,CNAG_04985,CNAG_05232,CNAG_05254,CNAG_05353,CNAG_05437,CNAG_05498,CNAG_05525,CNAG_05555,CNAG_05556,CNAG_05629,CNAG_05687,CNAG_05725,CNAG_05753,CNAG_05762,CNAG_05800,CNAG_05814,CNAG_05894,CNAG_05895,CNAG_05904,CNAG_05980,CNAG_06079,CNAG_06095,CNAG_06125,CNAG_06182,CNAG_06222,CNAG_06231,CNAG_06352,CNAG_06420,CNAG_06447,CNAG_06599,CNAG_06605,CNAG_06633,CNAG_06769,CNAG_06811,CNAG_06839,CNAG_06847,CNAG_06906,CNAG_07326,CNAG_07469,CNAG_07635,CNAG_07637,CNAG_07839,CNAG_07855,CNAG_07908,	11.0	1.91	3.3	1.38221110737e-22	8.75400367998e-22	2.62620110399e-21
GO:0005576	extracellular region	111	24	CNAG_00034,CNAG_00232,CNAG_00334,CNAG_00370,CNAG_00656,CNAG_00771,CNAG_00779,CNAG_00785,CNAG_01480,CNAG_02144,CNAG_02292,CNAG_03283,CNAG_03322,CNAG_04011,CNAG_04114,CNAG_04762,CNAG_04969,CNAG_05725,CNAG_05762,CNAG_06095,CNAG_06125,CNAG_06447,CNAG_06605,CNAG_06633,	21.6	3.76	4.83	9.72974590063e-09	4.6216293028e-08	1.84865172112e-07
GO:0005575	cellular component	2996	208	CNAG_00034,CNAG_00040,CNAG_00099,CNAG_00116,CNAG_00232,CNAG_00257,CNAG_00334,CNAG_00370,CNAG_00411,CNAG_00509,CNAG_00534,CNAG_00536,CNAG_00640,CNAG_00655,CNAG_00656,CNAG_00670,CNAG_00672,CNAG_00681,CNAG_00703,CNAG_00771,CNAG_00779,CNAG_00785,CNAG_00788,CNAG_00819,CNAG_00821,CNAG_01000,CNAG_01021,CNAG_01053,CNAG_01091,CNAG_01101,CNAG_01107,CNAG_01111,CNAG_01143,CNAG_01152,CNAG_01153,CNAG_01170,CNAG_01172,CNAG_01181,CNAG_01224,CNAG_01287,CNAG_01300,CNAG_01305,CNAG_01332,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01536,CNAG_01599,CNAG_01624,CNAG_01628,CNAG_01667,CNAG_01726,CNAG_01789,CNAG_01793,CNAG_01819,CNAG_01852,CNAG_01884,CNAG_01951,CNAG_01976,CNAG_01990,CNAG_02036,CNAG_02140,CNAG_02144,CNAG_02234,CNAG_02257,CNAG_02291,CNAG_02292,CNAG_02330,CNAG_02331,CNAG_02354,CNAG_02359,CNAG_02406,CNAG_02426,CNAG_02481,CNAG_02547,CNAG_02654,CNAG_02656,CNAG_02710,CNAG_02714,CNAG_02736,CNAG_02749,CNAG_02754,CNAG_02763,CNAG_02769,CNAG_02811,CNAG_02813,CNAG_02830,CNAG_02833,CNAG_02858,CNAG_02917,CNAG_02928,CNAG_02936,CNAG_03000,CNAG_03015,CNAG_03053,CNAG_03116,CNAG_03127,CNAG_03188,CNAG_03198,CNAG_03221,CNAG_03222,CNAG_03283,CNAG_03298,CNAG_03303,CNAG_03322,CNAG_03368,CNAG_03391,CNAG_03459,CNAG_03510,CNAG_03577,CNAG_03629,CNAG_03655,CNAG_03700,CNAG_03701,CNAG_03739,CNAG_03747,CNAG_03748,CNAG_03780,CNAG_03781,CNAG_03950,CNAG_04004,CNAG_04011,CNAG_04021,CNAG_04050,CNAG_04068,CNAG_04082,CNAG_04114,CNAG_04179,CNAG_04187,CNAG_04235,CNAG_04304,CNAG_04360,CNAG_04378,CNAG_04400,CNAG_04445,CNAG_04448,CNAG_04670,CNAG_04726,CNAG_04762,CNAG_04799,CNAG_04800,CNAG_04866,CNAG_04872,CNAG_04883,CNAG_04884,CNAG_04914,CNAG_04936,CNAG_04948,CNAG_04969,CNAG_04985,CNAG_05041,CNAG_05069,CNAG_05070,CNAG_05232,CNAG_05254,CNAG_05353,CNAG_05437,CNAG_05498,CNAG_05499,CNAG_05525,CNAG_05555,CNAG_05556,CNAG_05578,CNAG_05629,CNAG_05687,CNAG_05725,CNAG_05753,CNAG_05762,CNAG_05800,CNAG_05814,CNAG_05894,CNAG_05895,CNAG_05900,CNAG_05904,CNAG_05926,CNAG_05978,CNAG_05980,CNAG_06061,CNAG_06079,CNAG_06095,CNAG_06125,CNAG_06182,CNAG_06222,CNAG_06231,CNAG_06352,CNAG_06369,CNAG_06420,CNAG_06447,CNAG_06563,CNAG_06599,CNAG_06605,CNAG_06633,CNAG_06713,CNAG_06753,CNAG_06755,CNAG_06769,CNAG_06811,CNAG_06839,CNAG_06847,CNAG_06906,CNAG_07326,CNAG_07469,CNAG_07635,CNAG_07637,CNAG_07664,CNAG_07839,CNAG_07855,CNAG_07908,	6.9	1.21	1.76	6.44550515395e-06	2.4492919585e-05	0.000122464597925
GO:0032991	protein-containing complex	591	55	CNAG_00099,CNAG_00116,CNAG_00411,CNAG_00509,CNAG_00656,CNAG_00681,CNAG_01000,CNAG_01111,CNAG_01143,CNAG_01536,CNAG_01628,CNAG_01726,CNAG_01789,CNAG_01819,CNAG_01852,CNAG_01990,CNAG_02144,CNAG_02291,CNAG_02331,CNAG_02426,CNAG_02547,CNAG_02654,CNAG_02714,CNAG_02813,CNAG_02936,CNAG_03127,CNAG_03298,CNAG_03747,CNAG_04004,CNAG_04021,CNAG_04050,CNAG_04114,CNAG_04448,CNAG_04670,CNAG_04914,CNAG_04936,CNAG_04985,CNAG_05070,CNAG_05498,CNAG_05555,CNAG_05687,CNAG_05894,CNAG_06061,CNAG_06182,CNAG_06231,CNAG_06369,CNAG_06447,CNAG_06563,CNAG_06599,CNAG_06605,CNAG_06633,CNAG_06753,CNAG_06769,CNAG_07469,CNAG_07635,	9.3	1.62	1.84	0.000148792601411	0.000471176571135	0.00282705942681
GO:0005737	cytoplasm	822	68	CNAG_00370,CNAG_00509,CNAG_00534,CNAG_00536,CNAG_00656,CNAG_01021,CNAG_01101,CNAG_01111,CNAG_01287,CNAG_01300,CNAG_01305,CNAG_01667,CNAG_01789,CNAG_02140,CNAG_02291,CNAG_02656,CNAG_02710,CNAG_02714,CNAG_02736,CNAG_02763,CNAG_02833,CNAG_02858,CNAG_02936,CNAG_03298,CNAG_03322,CNAG_03368,CNAG_03391,CNAG_03459,CNAG_03629,CNAG_03655,CNAG_03701,CNAG_04004,CNAG_04082,CNAG_04114,CNAG_04179,CNAG_04187,CNAG_04235,CNAG_04304,CNAG_04360,CNAG_04378,CNAG_04448,CNAG_04800,CNAG_04866,CNAG_04872,CNAG_04936,CNAG_04985,CNAG_05254,CNAG_05437,CNAG_05498,CNAG_05555,CNAG_05725,CNAG_05753,CNAG_05894,CNAG_05900,CNAG_05978,CNAG_06061,CNAG_06352,CNAG_06369,CNAG_06420,CNAG_06563,CNAG_06599,CNAG_06713,CNAG_06755,CNAG_06769,CNAG_06839,CNAG_06906,CNAG_07326,CNAG_07908,	8.3	1.44	1.62	0.000764971518701	0.00207635126505	0.0145344588553
GO:0005635	nuclear envelope	27	5	CNAG_00411,CNAG_01000,CNAG_02547,CNAG_04670,CNAG_07469,	18.5	3.22	3.77	0.017284804712	0.041051411191	0.328411289528
GO:0005829	cytosol	28	5	CNAG_00656,CNAG_04004,CNAG_04114,CNAG_04448,CNAG_05555,	17.9	3.1	3.61	0.0200805839958	0.0423923439911	0.38153109592
GO:0005856	cytoskeleton	63	8	CNAG_01101,CNAG_01536,CNAG_02291,CNAG_03368,CNAG_04948,CNAG_05894,CNAG_06352,CNAG_06599,	12.7	2.21	2.42	0.0267644030987	0.0508523658875	0.508523658875
