Gene	Length	YM9A	YC0A	YC1A	YC2A	YC3A	YC4A	YH1A	YH2A	YH3A	YH4A	RC1A	RC2A	RC3A	RC4A	RH1A	RH2A	RH3A	RH4A	YM9B	YC0B	YC1B	YC2B	YC3B	YC4B	YH1B	YH2B	YH3B	YH4B	RC1B	RC2B	RC3B	RC4B	RH1B	RH2B	RH3B	RH4B
CNAG_00002	773	8.444	0.99	0	10.561	2.336	1.946	2.493	1.575	8.089	18.281	4.533	19.746	13.051	4.938	9.126	19.671	5.577	1.012	23.84	1.229	2.922	4.675	4.499	4.022	7.414	2.479	1.329	5.205	19.074	9.397	24.809	7.96	7.111	27.574	2.601	4.488
CNAG_00003	1752	5.805	35.622	11.714	15.331	14.377	16.864	3.532	5.776	12.249	15.046	21.152	5.924	27.19	21.794	0	21.48	2.603	2.277	13.188	10.756	9.461	1.364	8.742	11.347	3.151	1.653	14.178	14.313	11.444	41.347	27.519	24.155	6.564	12.504	16.04	18.913
CNAG_00004	2547	69.136	64.318	52.433	40.883	65.956	56.592	37.811	23.628	53.849	63.701	57.917	103.668	105.771	86.496	32.355	58.335	26.026	24.789	55.288	42.1	52.732	38.765	40.109	57.884	22.242	20.245	30.572	36.434	78.838	71.418	101.737	94.423	29.539	92.34	45.52	42.954
CNAG_00005	2106	9.5	5.937	0	3.407	14.198	25.62	8.102	37.804	77.192	49.358	6.547	1.975	4.079	10.557	3.733	18.767	1.859	8.6	16.062	10.141	1.809	1.753	4.371	15.656	3.892	38.424	21.71	38.385	9.537	0	0.417	2.196	1.641	15.069	3.035	32.376
CNAG_00006	1091	106.08	76.192	105.981	67.457	54.094	46.214	77.076	88.735	62.632	88.31	29.714	98.402	81.027	76.621	57.659	67.379	40.527	42.242	90.117	54.7	98.924	57.855	50.908	49.697	77.107	85.938	58.042	52.048	50.227	84.574	68.797	43.918	127.455	75.027	58.959	83.664
CNAG_00007	1969	56.47	84.108	40.719	63.368	57.329	63.402	70.012	63.532	81.121	94.919	22.16	33.569	35.076	42.737	25.304	38.437	29.744	28.583	92.822	32.881	42.992	51.817	64.021	82.733	58.757	55.777	76.208	102.795	59.129	40.094	51.702	53.25	33.368	33.024	31.647	32.696
CNAG_00008	3648	100.274	130.614	70.282	126.055	72.425	118.211	107.407	147.017	171.255	153.979	78.566	137.894	90.544	105.736	71.763	130.009	95.925	92.325	98.909	42.1	44.384	124.477	96.031	95.803	64.503	160.308	159.506	176.312	39.419	121.535	88.603	115.284	120.343	141.396	153.467	144.569
CNAG_00009	1473	22.166	13.853	7.251	24.189	39.358	69.402	10.595	62.482	45.067	52.733	4.533	26.328	21.209	33.543	13.274	34.82	21.565	19.73	49.708	23.662	5.704	26.688	49.88	77.131	7.785	34.706	48.295	105.397	0.636	15.035	38.568	54.623	20.787	33.024	55.057	37.505
CNAG_00010	3449	126.134	46.507	290.053	410.19	362.486	253.285	291.059	299.809	223.024	245.242	303.689	225.436	248.792	220.497	131.081	223.616	164.709	145.949	147.772	41.793	251.276	433.624	396.594	197.639	219.644	299.545	190.964	188.023	236.514	305.718	264.14	231.391	179.968	261.631	187.715	197.14
CNAG_00011	1241	5.805	39.58	5.578	10.561	8.626	13.945	12.673	17.327	14.56	26.155	29.211	34.556	7.341	29.286	5.393	29.619	9.667	28.583	14.54	9.526	12.244	8.376	22.626	4.309	6.487	11.569	21.267	24.723	16.531	25.685	11.049	16.195	2.735	19.558	27.745	43.275
CNAG_00012	1371	22.166	44.528	12.271	10.902	17.432	12.324	16.205	16.277	20.8	28.124	22.16	63.846	38.882	43.078	27.378	61.048	45.36	57.419	21.98	15.672	8.905	8.376	5.399	13.358	9.824	7.437	19.052	32.53	1.272	45.106	61.709	43.094	9.299	60.278	44.653	69.239
CNAG_00013	2324	22.694	43.538	10.04	10.902	9.165	8.594	12.881	9.976	26.347	31.921	18.131	22.708	11.42	22.475	11.2	31.88	8.923	22.259	21.98	13.214	6.539	12.272	14.398	7.325	11.121	30.987	33.23	33.831	0	16.288	12.717	9.881	22.975	17.634	13.439	25.644
CNAG_00014	2686	17.416	52.444	8.367	11.583	15.635	16.215	13.296	23.103	16.409	12.796	13.094	18.101	13.595	18.389	4.148	18.314	7.808	8.347	15.386	11.37	7.652	11.493	14.655	14.651	9.082	3.718	0	5.855	1.272	4.385	13.968	9.607	19.693	11.222	9.537	12.181
CNAG_00015	1250	11.083	3.958	6.136	18.738	9.165	16.54	25.761	11.026	16.178	8.859	9.065	42.125	38.338	67.937	7.467	13.792	17.103	10.118	8.623	16.287	17.392	13.831	13.113	9.336	20.945	14.874	11.963	27.976	34.969	54.503	64.419	80.424	2.735	17.955	43.352	39.107
CNAG_00016	798	40.11	20.78	8.925	11.243	9.525	25.783	16.205	36.229	28.889	22.921	7.554	17.442	10.06	10.557	10.37	18.54	17.847	10.118	21.811	19.36	12.522	8.961	14.912	17.236	12.789	17.353	24.812	16.265	22.253	16.288	6.671	19.214	12.034	15.39	6.503	21.477
CNAG_00017	2878	26.388	9.895	9.483	17.034	4.133	8.756	2.078	3.675	6.24	9.281	3.022	21.721	33.716	13.962	2.489	10.853	4.833	9.612	19.613	5.839	5.704	7.792	11.827	7.325	0.556	4.958	7.532	13.663	1.907	15.662	19.18	9.881	0	13.146	22.977	16.028
CNAG_00018	2581	89.719	23.748	7.809	57.577	53.376	67.456	69.389	157.518	115.094	119.105	25.181	52.327	52.206	67.937	79.229	133.175	85.143	109.778	67.292	53.471	24.905	27.272	53.479	59.751	55.977	88.004	79.31	117.758	19.71	30.697	47.741	66.974	86.975	135.945	101.878	117.963
